SURPRISE,SUBJECT,Y
Surprise,1,9.4
Surprise,2,5.4
Surprise,3,4.8
Surprise,4,0.8
Surprise,5,9.6
Surprise,6,3.6
Surprise,7,8.6
Surprise,8,5.8
Surprise,9,6.4
Surprise,10,3.6
Surprise,11,1
Surprise,12,5
Surprise,13,4.2
Surprise,14,14.4
No-Surprise,15,5
No-Surprise,16,9.6
No-Surprise,17,7.6
No-Surprise,18,7
No-Surprise,19,5.6
No-Surprise,20,5.8
No-Surprise,21,18
No-Surprise,22,3.4
No-Surprise,23,5.4
No-Surprise,24,7.6
No-Surprise,25,6
No-Surprise,26,5
Naïve,27,5.2
Naïve,28,9.2
Naïve,29,7.2
Naïve,30,5.2
Naïve,31,3.6
Naïve,32,6.8
Naïve,33,7.2
Naïve,34,3.6
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,