SURPRISE,SUBJECT,Session,Cue,Y,,,,
Surprise,1,1,Light ,0.6,,,,
Surprise,1,1,Tone,1.8,,,,
Surprise,1,2,Light ,2.6,,,,
Surprise,1,2,Tone,3.2,,,,
Surprise,1,3,Light ,2.1,,,,
Surprise,1,3,Tone,3.7,,,,
Surprise,1,4,Light ,2.7,,,,
Surprise,1,4,Tone,4.4,,,,
Surprise,1,5,Light ,2.3,,,,
Surprise,1,5,Tone,3.2,,,,
Surprise,1,6,Light ,2,,,,
Surprise,1,6,Tone,3.8,,,,
Surprise,1,7,Light ,3.1,,,,
Surprise,1,7,Tone,5.8,,,,
Surprise,1,8,Light ,4.3,,,,
Surprise,1,8,Tone,7.2,,,,
Surprise,1,9,Light ,4.1,,,,
Surprise,1,9,Tone,7.6,,,,
Surprise,1,10,Light ,2.6,,,,
Surprise,1,10,Tone,8.1,,,,
Surprise,2,1,Light ,0.8,,,,
Surprise,2,1,Tone,2,,,,
Surprise,2,2,Light ,4.4,,,,
Surprise,2,2,Tone,7.2,,,,
Surprise,2,3,Light ,1.7,,,,
Surprise,2,3,Tone,4.8,,,,
Surprise,2,4,Light ,3.8,,,,
Surprise,2,4,Tone,7,,,,
Surprise,2,5,Light ,3.4,,,,
Surprise,2,5,Tone,4.4,,,,
Surprise,2,6,Light ,2.5,,,,
Surprise,2,6,Tone,6,,,,
Surprise,2,7,Light ,2.4,,,,
Surprise,2,7,Tone,7.3,,,,
Surprise,2,8,Light ,2.9,,,,
Surprise,2,8,Tone,7.8,,,,
Surprise,2,9,Light ,1.8,,,,
Surprise,2,9,Tone,6.8,,,,
Surprise,2,10,Light ,2.2,,,,
Surprise,2,10,Tone,6.8,,,,
Surprise,3,1,Light ,1.1,,,,
Surprise,3,1,Tone,1.6,,,,
Surprise,3,2,Light ,2,,,,
Surprise,3,2,Tone,5.2,,,,
Surprise,3,3,Light ,3.5,,,,
Surprise,3,3,Tone,5.5,,,,
Surprise,3,4,Light ,3.8,,,,
Surprise,3,4,Tone,5.9,,,,
Surprise,3,5,Light ,1.8,,,,
Surprise,3,5,Tone,5.2,,,,
Surprise,3,6,Light ,1.4,,,,
Surprise,3,6,Tone,4.8,,,,
Surprise,3,7,Light ,0.4,,,,
Surprise,3,7,Tone,4.2,,,,
Surprise,3,8,Light ,1.5,,,,
Surprise,3,8,Tone,4.4,,,,
Surprise,3,9,Light ,1.6,,,,
Surprise,3,9,Tone,4.6,,,,
Surprise,3,10,Light ,1.3,,,,
Surprise,3,10,Tone,6,,,,
Surprise,4,1,Light ,0.5,,,,
Surprise,4,1,Tone,0.7,,,,
Surprise,4,2,Light ,3.6,,,,
Surprise,4,2,Tone,5.2,,,,
Surprise,4,3,Light ,3,,,,
Surprise,4,3,Tone,4.9,,,,
Surprise,4,4,Light ,2.1,,,,
Surprise,4,4,Tone,4.7,,,,
Surprise,4,5,Light ,1.1,,,,
Surprise,4,5,Tone,3.2,,,,
Surprise,4,6,Light ,1,,,,
Surprise,4,6,Tone,2.8,,,,
Surprise,4,7,Light ,0.9,,,,
Surprise,4,7,Tone,2.1,,,,
Surprise,4,8,Light ,0.5,,,,
Surprise,4,8,Tone,2.2,,,,
Surprise,4,9,Light ,0.7,,,,
Surprise,4,9,Tone,2.8,,,,
Surprise,4,10,Light ,0.7,,,,
Surprise,4,10,Tone,1.7,,,,
Surprise,5,1,Light ,1.7,,,,
Surprise,5,1,Tone,2.7,,,,
Surprise,5,2,Light ,2.2,,,,
Surprise,5,2,Tone,3.9,,,,
Surprise,5,3,Light ,5.3,,,,
Surprise,5,3,Tone,6.1,,,,
Surprise,5,4,Light ,5.9,,,,
Surprise,5,4,Tone,6.3,,,,
Surprise,5,5,Light ,6.1,,,,
Surprise,5,5,Tone,9.6,,,,
Surprise,5,6,Light ,7.4,,,,
Surprise,5,6,Tone,14.2,,,,
Surprise,5,7,Light ,5.9,,,,
Surprise,5,7,Tone,13.1,,,,
Surprise,5,8,Light ,4,,,,
Surprise,5,8,Tone,13.4,,,,
Surprise,5,9,Light ,4.5,,,,
Surprise,5,9,Tone,12.2,,,,
Surprise,5,10,Light ,4,,,,
Surprise,5,10,Tone,13.3,,,,
Surprise,6,1,Light ,0.1,,,,
Surprise,6,1,Tone,1.4,,,,
Surprise,6,2,Light ,1.2,,,,
Surprise,6,2,Tone,1.9,,,,
Surprise,6,3,Light ,1.8,,,,
Surprise,6,3,Tone,3.3,,,,
Surprise,6,4,Light ,2.3,,,,
Surprise,6,4,Tone,3.4,,,,
Surprise,6,5,Light ,1.3,,,,
Surprise,6,5,Tone,2.5,,,,
Surprise,6,6,Light ,2.5,,,,
Surprise,6,6,Tone,3.5,,,,
Surprise,6,7,Light ,1.9,,,,
Surprise,6,7,Tone,3.7,,,,
Surprise,6,8,Light ,1.8,,,,
Surprise,6,8,Tone,4.4,,,,
Surprise,6,9,Light ,0.7,,,,
Surprise,6,9,Tone,3,,,,
Surprise,6,10,Light ,2.3,,,,
Surprise,6,10,Tone,4.8,,,,
Surprise,7,1,Light ,0.6,,,,
Surprise,7,1,Tone,0.9,,,,
Surprise,7,2,Light ,2,,,,
Surprise,7,2,Tone,4.5,,,,
Surprise,7,3,Light ,2.1,,,,
Surprise,7,3,Tone,4.4,,,,
Surprise,7,4,Light ,2.7,,,,
Surprise,7,4,Tone,3.3,,,,
Surprise,7,5,Light ,4.1,,,,
Surprise,7,5,Tone,5.9,,,,
Surprise,7,6,Light ,4.1,,,,
Surprise,7,6,Tone,6.5,,,,
Surprise,7,7,Light ,3.3,,,,
Surprise,7,7,Tone,4.5,,,,
Surprise,7,8,Light ,5.7,,,,
Surprise,7,8,Tone,5.7,,,,
Surprise,7,9,Light ,5.7,,,,
Surprise,7,9,Tone,9.7,,,,
Surprise,7,10,Light ,5.5,,,,
Surprise,7,10,Tone,11.5,,,,
Surprise,8,1,Light ,1.9,,,,
Surprise,8,1,Tone,2.2,,,,
Surprise,8,2,Light ,2.7,,,,
Surprise,8,2,Tone,3.8,,,,
Surprise,8,3,Light ,1.6,,,,
Surprise,8,3,Tone,2.5,,,,
Surprise,8,4,Light ,1.3,,,,
Surprise,8,4,Tone,2.1,,,,
Surprise,8,5,Light ,1.7,,,,
Surprise,8,5,Tone,2.1,,,,
Surprise,8,6,Light ,2.2,,,,
Surprise,8,6,Tone,2.9,,,,
Surprise,8,7,Light ,1.4,,,,
Surprise,8,7,Tone,3.4,,,,
Surprise,8,8,Light ,0.9,,,,
Surprise,8,8,Tone,3.8,,,,
Surprise,8,9,Light ,1.2,,,,
Surprise,8,9,Tone,4.3,,,,
Surprise,8,10,Light ,0.6,,,,
Surprise,8,10,Tone,3.3,,,,
Surprise,9,1,Light ,0.4,,,,
Surprise,9,1,Tone,0.5,,,,
Surprise,9,2,Light ,0.6,,,,
Surprise,9,2,Tone,1.2,,,,
Surprise,9,3,Light ,0.3,,,,
Surprise,9,3,Tone,2.9,,,,
Surprise,9,4,Light ,0.7,,,,
Surprise,9,4,Tone,1.9,,,,
Surprise,9,5,Light ,1,,,,
Surprise,9,5,Tone,2.5,,,,
Surprise,9,6,Light ,0.4,,,,
Surprise,9,6,Tone,3.4,,,,
Surprise,9,7,Light ,1.6,,,,
Surprise,9,7,Tone,4,,,,
Surprise,9,8,Light ,2.7,,,,
Surprise,9,8,Tone,3.2,,,,
Surprise,9,9,Light ,2.9,,,,
Surprise,9,9,Tone,4.6,,,,
Surprise,9,10,Light ,1.4,,,,
Surprise,9,10,Tone,3.9,,,,
Surprise,10,1,Light ,0.2,,,,
Surprise,10,1,Tone,1.1,,,,
Surprise,10,2,Light ,1,,,,
Surprise,10,2,Tone,1.1,,,,
Surprise,10,3,Light ,0.7,,,,
Surprise,10,3,Tone,2.6,,,,
Surprise,10,4,Light ,0.4,,,,
Surprise,10,4,Tone,4,,,,
Surprise,10,5,Light ,0,,,,
Surprise,10,5,Tone,4.6,,,,
Surprise,10,6,Light ,1,,,,
Surprise,10,6,Tone,5.4,,,,
Surprise,10,7,Light ,2,,,,
Surprise,10,7,Tone,3.8,,,,
Surprise,10,8,Light ,2.2,,,,
Surprise,10,8,Tone,4.8,,,,
Surprise,10,9,Light ,0.9,,,,
Surprise,10,9,Tone,3.9,,,,
Surprise,10,10,Light ,0.4,,,,
Surprise,10,10,Tone,4.3,,,,
Surprise,11,1,Light ,0.1,,,,
Surprise,11,1,Tone,0,,,,
Surprise,11,2,Light ,0.6,,,,
Surprise,11,2,Tone,1.1,,,,
Surprise,11,3,Light ,0.2,,,,
Surprise,11,3,Tone,0.8,,,,
Surprise,11,4,Light ,0.2,,,,
Surprise,11,4,Tone,1.2,,,,
Surprise,11,5,Light ,0.1,,,,
Surprise,11,5,Tone,0.8,,,,
Surprise,11,6,Light ,0.7,,,,
Surprise,11,6,Tone,2.8,,,,
Surprise,11,7,Light ,1.8,,,,
Surprise,11,7,Tone,3.6,,,,
Surprise,11,8,Light ,1,,,,
Surprise,11,8,Tone,3.4,,,,
Surprise,11,9,Light ,1.3,,,,
Surprise,11,9,Tone,4.1,,,,
Surprise,11,10,Light ,1.3,,,,
Surprise,11,10,Tone,3.4,,,,
Surprise,12,1,Light ,0.4,,,,
Surprise,12,1,Tone,1,,,,
Surprise,12,2,Light ,2,,,,
Surprise,12,2,Tone,1.2,,,,
Surprise,12,3,Light ,1.5,,,,
Surprise,12,3,Tone,0.9,,,,
Surprise,12,4,Light ,0.4,,,,
Surprise,12,4,Tone,0.3,,,,
Surprise,12,5,Light ,0.8,,,,
Surprise,12,5,Tone,0.9,,,,
Surprise,12,6,Light ,0.2,,,,
Surprise,12,6,Tone,0.2,,,,
Surprise,12,7,Light ,0,,,,
Surprise,12,7,Tone,0.8,,,,
Surprise,12,8,Light ,0.2,,,,
Surprise,12,8,Tone,1,,,,
Surprise,12,9,Light ,0.4,,,,
Surprise,12,9,Tone,1.7,,,,
Surprise,12,10,Light ,0.2,,,,
Surprise,12,10,Tone,3.9,,,,
Surprise,13,1,Light ,0.6,,,,
Surprise,13,1,Tone,0.7,,,,
Surprise,13,2,Light ,1.1,,,,
Surprise,13,2,Tone,2.5,,,,
Surprise,13,3,Light ,1,,,,
Surprise,13,3,Tone,1.6,,,,
Surprise,13,4,Light ,1.1,,,,
Surprise,13,4,Tone,2.6,,,,
Surprise,13,5,Light ,0.5,,,,
Surprise,13,5,Tone,1.8,,,,
Surprise,13,6,Light ,0.3,,,,
Surprise,13,6,Tone,2.3,,,,
Surprise,13,7,Light ,1.4,,,,
Surprise,13,7,Tone,3.2,,,,
Surprise,13,8,Light ,1,,,,
Surprise,13,8,Tone,3.5,,,,
Surprise,13,9,Light ,0.9,,,,
Surprise,13,9,Tone,4,,,,
Surprise,13,10,Light ,0.4,,,,
Surprise,13,10,Tone,4.8,,,,
Surprise,14,1,Light ,0.6,,,,
Surprise,14,1,Tone,1.7,,,,
Surprise,14,2,Light ,2.6,,,,
Surprise,14,2,Tone,5.6,,,,
Surprise,14,3,Light ,2.9,,,,
Surprise,14,3,Tone,3.9,,,,
Surprise,14,4,Light ,3.5,,,,
Surprise,14,4,Tone,8.5,,,,
Surprise,14,5,Light ,2.8,,,,
Surprise,14,5,Tone,10.6,,,,
Surprise,14,6,Light ,4.7,,,,
Surprise,14,6,Tone,11,,,,
Surprise,14,7,Light ,5.9,,,,
Surprise,14,7,Tone,9.5,,,,
Surprise,14,8,Light ,4.8,,,,
Surprise,14,8,Tone,11.6,,,,
Surprise,14,9,Light ,1.6,,,,
Surprise,14,9,Tone,10.8,,,,
Surprise,14,10,Light ,3.7,,,,
Surprise,14,10,Tone,12.5,,,,
No-Surprise,15,1,Light ,1.9,,,,
No-Surprise,15,1,Tone,1.1,,,,
No-Surprise,15,2,Light ,0.4,,,,
No-Surprise,15,2,Tone,1.3,,,,
No-Surprise,15,3,Light ,1.6,,,,
No-Surprise,15,3,Tone,2.2,,,,
No-Surprise,15,4,Light ,1.3,,,,
No-Surprise,15,4,Tone,4.2,,,,
No-Surprise,15,5,Light ,2.3,,,,
No-Surprise,15,5,Tone,4.2,,,,
No-Surprise,15,6,Light ,1.2,,,,
No-Surprise,15,6,Tone,3.4,,,,
No-Surprise,15,7,Light ,0.1,,,,
No-Surprise,15,7,Tone,3.3,,,,
No-Surprise,15,8,Light ,1.5,,,,
No-Surprise,15,8,Tone,3.2,,,,
No-Surprise,15,9,Light ,0,,,,
No-Surprise,15,9,Tone,2.2,,,,
No-Surprise,15,10,Light ,0.4,,,,
No-Surprise,15,10,Tone,4.3,,,,
No-Surprise,16,1,Light ,0.5,,,,
No-Surprise,16,1,Tone,1.1,,,,
No-Surprise,16,2,Light ,2.9,,,,
No-Surprise,16,2,Tone,2.6,,,,
No-Surprise,16,3,Light ,3.2,,,,
No-Surprise,16,3,Tone,4.8,,,,
No-Surprise,16,4,Light ,3.3,,,,
No-Surprise,16,4,Tone,6.1,,,,
No-Surprise,16,5,Light ,3.7,,,,
No-Surprise,16,5,Tone,4.9,,,,
No-Surprise,16,6,Light ,2.1,,,,
No-Surprise,16,6,Tone,6.9,,,,
No-Surprise,16,7,Light ,1.7,,,,
No-Surprise,16,7,Tone,7.1,,,,
No-Surprise,16,8,Light ,1.7,,,,
No-Surprise,16,8,Tone,8.8,,,,
No-Surprise,16,9,Light ,1.3,,,,
No-Surprise,16,9,Tone,12,,,,
No-Surprise,16,10,Light ,0.3,,,,
No-Surprise,16,10,Tone,9.6,,,,
No-Surprise,17,1,Light ,0.1,,,,
No-Surprise,17,1,Tone,2,,,,
No-Surprise,17,2,Light ,1.3,,,,
No-Surprise,17,2,Tone,3.1,,,,
No-Surprise,17,3,Light ,3.6,,,,
No-Surprise,17,3,Tone,6.4,,,,
No-Surprise,17,4,Light ,5.7,,,,
No-Surprise,17,4,Tone,7.2,,,,
No-Surprise,17,5,Light ,2.3,,,,
No-Surprise,17,5,Tone,7.6,,,,
No-Surprise,17,6,Light ,0.1,,,,
No-Surprise,17,6,Tone,4.7,,,,
No-Surprise,17,7,Light ,1.9,,,,
No-Surprise,17,7,Tone,7,,,,
No-Surprise,17,8,Light ,0.7,,,,
No-Surprise,17,8,Tone,6.6,,,,
No-Surprise,17,9,Light ,0.7,,,,
No-Surprise,17,9,Tone,5.5,,,,
No-Surprise,17,10,Light ,1.1,,,,
No-Surprise,17,10,Tone,6.3,,,,
No-Surprise,18,1,Light ,0,,,,
No-Surprise,18,1,Tone,1.1,,,,
No-Surprise,18,2,Light ,0.6,,,,
No-Surprise,18,2,Tone,2.9,,,,
No-Surprise,18,3,Light ,2.5,,,,
No-Surprise,18,3,Tone,4.6,,,,
No-Surprise,18,4,Light ,2.3,,,,
No-Surprise,18,4,Tone,6.2,,,,
No-Surprise,18,5,Light ,2.7,,,,
No-Surprise,18,5,Tone,5.7,,,,
No-Surprise,18,6,Light ,0.8,,,,
No-Surprise,18,6,Tone,4.2,,,,
No-Surprise,18,7,Light ,2.2,,,,
No-Surprise,18,7,Tone,5.2,,,,
No-Surprise,18,8,Light ,2.7,,,,
No-Surprise,18,8,Tone,5.6,,,,
No-Surprise,18,9,Light ,1.1,,,,
No-Surprise,18,9,Tone,6.2,,,,
No-Surprise,18,10,Light ,2.1,,,,
No-Surprise,18,10,Tone,8.3,,,,
No-Surprise,19,1,Light ,0.7,,,,
No-Surprise,19,1,Tone,0.8,,,,
No-Surprise,19,2,Light ,1.8,,,,
No-Surprise,19,2,Tone,2.6,,,,
No-Surprise,19,3,Light ,1.7,,,,
No-Surprise,19,3,Tone,5.8,,,,
No-Surprise,19,4,Light ,0.4,,,,
No-Surprise,19,4,Tone,2.3,,,,
No-Surprise,19,5,Light ,0.3,,,,
No-Surprise,19,5,Tone,3,,,,
No-Surprise,19,6,Light ,0.1,,,,
No-Surprise,19,6,Tone,2.6,,,,
No-Surprise,19,7,Light ,0.8,,,,
No-Surprise,19,7,Tone,3.7,,,,
No-Surprise,19,8,Light ,0.6,,,,
No-Surprise,19,8,Tone,5.1,,,,
No-Surprise,19,9,Light ,0.7,,,,
No-Surprise,19,9,Tone,5.8,,,,
No-Surprise,19,10,Light ,0.9,,,,
No-Surprise,19,10,Tone,6.1,,,,
No-Surprise,20,1,Light ,1.2,,,,
No-Surprise,20,1,Tone,1.7,,,,
No-Surprise,20,2,Light ,1.9,,,,
No-Surprise,20,2,Tone,1.5,,,,
No-Surprise,20,3,Light ,3.3,,,,
No-Surprise,20,3,Tone,5,,,,
No-Surprise,20,4,Light ,3.8,,,,
No-Surprise,20,4,Tone,7,,,,
No-Surprise,20,5,Light ,2.4,,,,
No-Surprise,20,5,Tone,7.7,,,,
No-Surprise,20,6,Light ,0.4,,,,
No-Surprise,20,6,Tone,7.5,,,,
No-Surprise,20,7,Light ,1.3,,,,
No-Surprise,20,7,Tone,7.3,,,,
No-Surprise,20,8,Light ,1.1,,,,
No-Surprise,20,8,Tone,8.9,,,,
No-Surprise,20,9,Light ,1.5,,,,
No-Surprise,20,9,Tone,8.6,,,,
No-Surprise,20,10,Light ,0.2,,,,
No-Surprise,20,10,Tone,6.8,,,,
No-Surprise,21,1,Light ,1.2,,,,
No-Surprise,21,1,Tone,1.8,,,,
No-Surprise,21,2,Light ,2.4,,,,
No-Surprise,21,2,Tone,3.8,,,,
No-Surprise,21,3,Light ,4,,,,
No-Surprise,21,3,Tone,7,,,,
No-Surprise,21,4,Light ,7.2,,,,
No-Surprise,21,4,Tone,11,,,,
No-Surprise,21,5,Light ,5.4,,,,
No-Surprise,21,5,Tone,10.4,,,,
No-Surprise,21,6,Light ,4.3,,,,
No-Surprise,21,6,Tone,10.7,,,,
No-Surprise,21,7,Light ,3.7,,,,
No-Surprise,21,7,Tone,10.4,,,,
No-Surprise,21,8,Light ,3.9,,,,
No-Surprise,21,8,Tone,7.6,,,,
No-Surprise,21,9,Light ,3.7,,,,
No-Surprise,21,9,Tone,8,,,,
No-Surprise,21,10,Light ,3.2,,,,
No-Surprise,21,10,Tone,10.9,,,,
No-Surprise,22,1,Light ,0.7,,,,
No-Surprise,22,1,Tone,1.5,,,,
No-Surprise,22,2,Light ,0.6,,,,
No-Surprise,22,2,Tone,2,,,,
No-Surprise,22,3,Light ,0.1,,,,
No-Surprise,22,3,Tone,0.9,,,,
No-Surprise,22,4,Light ,0.1,,,,
No-Surprise,22,4,Tone,0.8,,,,
No-Surprise,22,5,Light ,0,,,,
No-Surprise,22,5,Tone,0.4,,,,
No-Surprise,22,6,Light ,0.1,,,,
No-Surprise,22,6,Tone,0.6,,,,
No-Surprise,22,7,Light ,0,,,,
No-Surprise,22,7,Tone,0.2,,,,
No-Surprise,22,8,Light ,0,,,,
No-Surprise,22,8,Tone,0.7,,,,
No-Surprise,22,9,Light ,0.2,,,,
No-Surprise,22,9,Tone,0.9,,,,
No-Surprise,22,10,Light ,0.3,,,,
No-Surprise,22,10,Tone,2,,,,
No-Surprise,23,1,Light ,1.8,,,,
No-Surprise,23,1,Tone,2.7,,,,
No-Surprise,23,2,Light ,4.1,,,,
No-Surprise,23,2,Tone,3.9,,,,
No-Surprise,23,3,Light ,3.4,,,,
No-Surprise,23,3,Tone,3.5,,,,
No-Surprise,23,4,Light ,3.4,,,,
No-Surprise,23,4,Tone,3.4,,,,
No-Surprise,23,5,Light ,3.8,,,,
No-Surprise,23,5,Tone,2.3,,,,
No-Surprise,23,6,Light ,2.8,,,,
No-Surprise,23,6,Tone,2.8,,,,
No-Surprise,23,7,Light ,2.7,,,,
No-Surprise,23,7,Tone,3.9,,,,
No-Surprise,23,8,Light ,3,,,,
No-Surprise,23,8,Tone,5.8,,,,
No-Surprise,23,9,Light ,1.8,,,,
No-Surprise,23,9,Tone,5.3,,,,
No-Surprise,23,10,Light ,2.9,,,,
No-Surprise,23,10,Tone,5.4,,,,
No-Surprise,24,1,Light ,1.1,,,,
No-Surprise,24,1,Tone,1.8,,,,
No-Surprise,24,2,Light ,1.8,,,,
No-Surprise,24,2,Tone,3.9,,,,
No-Surprise,24,3,Light ,3.4,,,,
No-Surprise,24,3,Tone,7.7,,,,
No-Surprise,24,4,Light ,2.8,,,,
No-Surprise,24,4,Tone,7.5,,,,
No-Surprise,24,5,Light ,3.3,,,,
No-Surprise,24,5,Tone,6.9,,,,
No-Surprise,24,6,Light ,2.7,,,,
No-Surprise,24,6,Tone,7.2,,,,
No-Surprise,24,7,Light ,2.8,,,,
No-Surprise,24,7,Tone,6.8,,,,
No-Surprise,24,8,Light ,2.8,,,,
No-Surprise,24,8,Tone,6.4,,,,
No-Surprise,24,9,Light ,0.9,,,,
No-Surprise,24,9,Tone,6.6,,,,
No-Surprise,24,10,Light ,1.1,,,,
No-Surprise,24,10,Tone,7.5,,,,
No-Surprise,25,1,Light ,0.8,,,,
No-Surprise,25,1,Tone,1.2,,,,
No-Surprise,25,2,Light ,3.7,,,,
No-Surprise,25,2,Tone,5.6,,,,
No-Surprise,25,3,Light ,3.8,,,,
No-Surprise,25,3,Tone,5.1,,,,
No-Surprise,25,4,Light ,3.7,,,,
No-Surprise,25,4,Tone,6.2,,,,
No-Surprise,25,5,Light ,3.7,,,,
No-Surprise,25,5,Tone,3.5,,,,
No-Surprise,25,6,Light ,3.3,,,,
No-Surprise,25,6,Tone,4.1,,,,
No-Surprise,25,7,Light ,2.9,,,,
No-Surprise,25,7,Tone,3.2,,,,
No-Surprise,25,8,Light ,2.8,,,,
No-Surprise,25,8,Tone,3.6,,,,
No-Surprise,25,9,Light ,3.2,,,,
No-Surprise,25,9,Tone,5.4,,,,
No-Surprise,25,10,Light ,3,,,,
No-Surprise,25,10,Tone,6.4,,,,
No-Surprise,26,1,Light ,2.2,,,,
No-Surprise,26,1,Tone,1.9,,,,
No-Surprise,26,2,Light ,1.6,,,,
No-Surprise,26,2,Tone,2.5,,,,
No-Surprise,26,3,Light ,2.5,,,,
No-Surprise,26,3,Tone,2.7,,,,
No-Surprise,26,4,Light ,3.9,,,,
No-Surprise,26,4,Tone,6.3,,,,
No-Surprise,26,5,Light ,3.6,,,,
No-Surprise,26,5,Tone,4.7,,,,
No-Surprise,26,6,Light ,4.1,,,,
No-Surprise,26,6,Tone,5.4,,,,
No-Surprise,26,7,Light ,3.8,,,,
No-Surprise,26,7,Tone,7.5,,,,
No-Surprise,26,8,Light ,3.4,,,,
No-Surprise,26,8,Tone,6.7,,,,
No-Surprise,26,9,Light ,2.4,,,,
No-Surprise,26,9,Tone,5.7,,,,
No-Surprise,26,10,Light ,2.7,,,,
No-Surprise,26,10,Tone,6.2,,,,
Naïve,27,1,Tone,0.5,,,,
Naïve,27,2,Tone,0.5,,,,
Naïve,27,3,Tone,0.4,,,,
Naïve,27,4,Tone,2.5,,,,
Naïve,27,5,Tone,2.6,,,,
Naïve,27,6,Tone,2.3,,,,
Naïve,27,7,Tone,2.6,,,,
Naïve,27,8,Tone,3.3,,,,
Naïve,27,9,Tone,3.4,,,,
Naïve,27,10,Tone,3.4,,,,
Naïve,28,1,Tone,1.8,,,,
Naïve,28,2,Tone,1.5,,,,
Naïve,28,3,Tone,1.8,,,,
Naïve,28,4,Tone,4.6,,,,
Naïve,28,5,Tone,2.8,,,,
Naïve,28,6,Tone,4.4,,,,
Naïve,28,7,Tone,3.3,,,,
Naïve,28,8,Tone,2.8,,,,
Naïve,28,9,Tone,5.1,,,,
Naïve,28,10,Tone,3.2,,,,
Naïve,29,1,Tone,2.3,,,,
Naïve,29,2,Tone,5.2,,,,
Naïve,29,3,Tone,4.9,,,,
Naïve,29,4,Tone,3.4,,,,
Naïve,29,5,Tone,3.6,,,,
Naïve,29,6,Tone,4.3,,,,
Naïve,29,7,Tone,3.9,,,,
Naïve,29,8,Tone,4,,,,
Naïve,29,9,Tone,5.6,,,,
Naïve,29,10,Tone,4.8,,,,
Naïve,30,1,Tone,1.2,,,,
Naïve,30,2,Tone,1.3,,,,
Naïve,30,3,Tone,1.7,,,,
Naïve,30,4,Tone,2.2,,,,
Naïve,30,5,Tone,4.1,,,,
Naïve,30,6,Tone,3.7,,,,
Naïve,30,7,Tone,4.9,,,,
Naïve,30,8,Tone,4,,,,
Naïve,30,9,Tone,4.2,,,,
Naïve,30,10,Tone,3.5,,,,
Naïve,31,1,Tone,0.8,,,,
Naïve,31,2,Tone,0.4,,,,
Naïve,31,3,Tone,0.1,,,,
Naïve,31,4,Tone,1.2,,,,
Naïve,31,5,Tone,1.8,,,,
Naïve,31,6,Tone,1,,,,
Naïve,31,7,Tone,1.4,,,,
Naïve,31,8,Tone,1.9,,,,
Naïve,31,9,Tone,2.1,,,,
Naïve,31,10,Tone,2.4,,,,
Naïve,32,1,Tone,2.6,,,,
Naïve,32,2,Tone,2.2,,,,
Naïve,32,3,Tone,2.8,,,,
Naïve,32,4,Tone,5.1,,,,
Naïve,32,5,Tone,4.9,,,,
Naïve,32,6,Tone,2.9,,,,
Naïve,32,7,Tone,5.2,,,,
Naïve,32,8,Tone,4.1,,,,
Naïve,32,9,Tone,3.9,,,,
Naïve,32,10,Tone,5.2,,,,
Naïve,33,1,Tone,2.6,,,,
Naïve,33,2,Tone,1.2,,,,
Naïve,33,3,Tone,1,,,,
Naïve,33,4,Tone,0.6,,,,
Naïve,33,5,Tone,2,,,,
Naïve,33,6,Tone,2.1,,,,
Naïve,33,7,Tone,1.8,,,,
Naïve,33,8,Tone,2.7,,,,
Naïve,33,9,Tone,3.7,,,,
Naïve,33,10,Tone,5.2,,,,
Naïve,34,1,Tone,0.4,,,,
Naïve,34,2,Tone,2.2,,,,
Naïve,34,3,Tone,2.5,,,,
Naïve,34,4,Tone,3,,,,
Naïve,34,5,Tone,2.5,,,,
Naïve,34,6,Tone,2.2,,,,
Naïve,34,7,Tone,2.6,,,,
Naïve,34,8,Tone,2.3,,,,
Naïve,34,9,Tone,3,,,,
Naïve,34,10,Tone,2.4,,,,